VNUM	LOCALE_NAME	RANK	TYPE	BATTLE_TYPE	LEVEL	SIZE	AI_FLAG	MOUNT_CAPACITY	RACE_FLAG	IMMUNE_FLAG	EMPIRE	FOLDER	ON_CLICK	ST	DX	HT	IQ	DAMAGE_MIN	DAMAGE_MAX	MAX_HP	REGEN_CYCLE	REGEN_PERCENT	GOLD_MIN	GOLD_MAX	EXP	DEF	ATTACK_SPEED	MOVE_SPEED	AGGRESSIVE_HP_PCT	AGGRESSIVE_SIGHT	ATTACK_RANGE	DROP_ITEM	RESURRECTION_VNUM	ENCHANT_CURSE	ENCHANT_SLOW	ENCHANT_POISON	ENCHANT_STUN	ENCHANT_CRITICAL	ENCHANT_PENETRATE	RESIST_SWORD	RESIST_TWOHAND	RESIST_DAGGER	RESIST_BELL	RESIST_FAN	RESIST_BOW	RESIST_FIRE	RESIST_ELECT	RESIST_MAGIC	RESIST_WIND	RESIST_POISON	DAM_MULTIPLY	SUMMON	DRAIN_SP	MOB_COLOR	POLYMORPH_ITEM	SKILL_LEVEL0	SKILL_VNUM0	SKILL_LEVEL1	SKILL_VNUM1	SKILL_LEVEL2	SKILL_VNUM2	SKILL_LEVEL3	SKILL_VNUM3	SKILL_LEVEL4	SKILL_VNUM4	SP_BERSERK	SP_STONESKIN	SP_GODSPEED	SP_DEATHBLOW	SP_REVIVE
111	Urs Grizzly	1	0	5	15			0	1		0	bear	0	14	17	34	6	44	53	572	6	7	38	57	220	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
112	Urs Negru	0	0	4	19			0	1		0	bear	0	36	14	21	7	50	62	624	6	7	30	46	385	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
113	Urs Brun	1	0	4	21			0	1		0	bear	0	35	15	23	8	54	66	845	6	12	50	75	510	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
114	Tigru	0	0	4	18			0	1		0	tiger	0	18	20	27	7	49	60	585	6	12	29	44	365	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
115	Tigru Alb	1	0	4	24		1	0	1		0	tiger	0	25	17	45	9	59	72	1007	10	22	56	84	582	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
131	Lup Blestemat	2	0	0	8		1	0	1	8	0	wolf	0	16	16	31	8	32	39	435	6	7	30	45	198	12	100	120	100	2000	175	30028	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
132	Lup Blestemat Alpha	3	0	0	9		1	0	1	8	0	wolf	0	23	24	31	8	33	41	743	6	7	40	60	444	13	100	120	100	2000	175	30069	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
133	Lup Blestemat Albastru	2	0	0	11		1	0	1	8	0	wolf	0	16	16	32	8	37	45	564	6	7	38	58	270	15	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134	Lup Alpha Albastru Blest	3	0	0	14		1	0	1	8	0	wolf	0	24	33	32	8	42	51	1110	6	7	58	87	684	18	100	120	100	2000	175	30027	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
135	Lup Blestemat Gri	2	0	0	18		1	0	1	8	0	wolf	0	17	25	25	8	49	60	936	6	7	58	87	438	22	100	120	100	2000	175	30070	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
136	Lup Blest Alpha Gri	3	0	0	21		1	0	1	8	0	wolf	0	33	17	17	8	42	78	1761	6	12	83	125	1020	26	100	120	100	2000	175	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
137	Mistreþ Blestemat	2	0	0	12		1	0	1	8	0	wild_boar	0	35	17	26	9	30	56	610	6	7	41	62	294	16	100	120	100	2000	175	30004	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
138	Mistreþ Blestemat Roºu	3	0	0	15		1	0	1	8	0	wild_boar	0	35	18	26	9	44	53	1192	6	7	62	93	732	19	100	120	100	2000	175	30003	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
139	Urs Blestemat	2	0	0	17		1	0	1	8	0	bear	0	36	18	27	9	37	68	875	6	7	55	83	414	21	100	120	100	2000	175	30010	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
140	Urs Blestemat Grizzly	3	0	5	20		1	0	1	8	0	bear	0	36	19	27	9	52	64	1659	6	7	80	120	972	25	100	120	100	2000	175	30071	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
141	Urs Blestemat Negru	2	0	5	24		1	0	1	8	0	bear	0	37	19	28	9	46	85	1342	6	7	75	112	582	29	100	120	100	2000	175	30053	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
142	Urs Blestemat Brun	3	0	5	26		1	0	1	8	0	bear	0	37	19	28	9	62	76	2342	4	12	101	152	1260	31	100	120	100	2000	175	30072	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
143	Tigru Blestemat	2	0	4	24		1	0	1	8	0	tiger	0	28	38	19	9	52	79	1342	6	12	75	112	582	29	100	120	100	2000	175	30038	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8	0	0	16764159	70106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
144	Tigru Blestemat Alb	3	0	4	29		1	0	1	8	0	tiger	0	39	30	20	10	53	98	2685	9	22	112	168	1404	34	100	120	100	2000	175	30023	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	16764159	70107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
151	Cung-Mok	3	0	0	9			0	1		0	wolf	0	14	8	16	4	33	41	450	6	5	25	50	100	15	80	100	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
152	Mu-Rang	3	0	0	16			0	1		0	wolf	0	23	24	12	6	45	55	800	8	10	50	75	200	25	80	130	25	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
153	Jug-Hyul	3	0	0	10			0	1		0	wild_boar	0	22	9	13	4	35	43	600	6	5	30	70	120	15	80	100	30	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
154	Young-Ji	3	0	4	21			0	1		0	bear	0	35	15	23	8	54	66	1000	8	10	75	100	220	26	100	100	40	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
155	Li-An	3	0	4	24		1	0	1		0	tiger	0	25	17	45	9	59	72	1200	15	20	75	110	250	29	100	130	50	2000	175	0	0	0	0	0	0	20	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
171	Câine sãlbatic flãmând	0	0	0	1			0	1		0	stray_dog	0	3	6	5	2	24	29	101	6	7	9	13	11	4	100	100	0	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
172	Lup Flamand	0	0	0	3			0	1		0	wolf	0	4	9	7	2	28	34	129	6	7	11	17	27	6	100	100	25	2000	175	30028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
173	Lup Flamand Alpha	0	0	0	4			0	1		0	wolf	0	8	5	10	3	30	36	145	6	7	12	19	36	7	100	130	25	2000	175	30069	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
174	Lup Flamand Albastru	0	0	0	6			0	1		0	wolf	0	9	12	6	3	30	46	180	6	7	15	22	53	9	100	100	25	2000	175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
175	Lup Flamand Alpha Albast	0	0	0	9			0	1		0	wolf	0	14	8	16	4	40	49	238	6	7	18	28	78	13	80	100	25	2000	175	30027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
176	Lup Flamand Gri	0	0	0	13			0	1		0	wolf	0	21	21	10	5	48	59	329	6	7	23	35	111	17	100	100	25	2000	175	30070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
177	Lup Flamand Alpha Gri	1	0	0	16			0	1		0	wolf	0	23	24	12	6	54	66	491	6	12	40	60	164	20	80	130	25	2000	175	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	6	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
178	Mistreþ Flãmând	0	0	0	7			0	1		0	wild_boar	0	14	7	10	3	36	44	198	6	7	16	24	61	11	80	100	30	2000	175	30004	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
179	Mistreþ Flãmând Roºu	1	0	0	10			0	1		0	wild_boar	0	22	9	13	4	42	52	311	3	7	28	42	103	14	80	100	30	2000	175	30003	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	8	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
180	Urs Flamand	0	0	4	12			0	1		0	bear	0	20	10	20	5	47	56	305	6	7	22	33	103	16	100	70	40	2000	175	30010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
181	Urs Flãmând Grizzly	1	0	5	15			0	1		0	bear	0	14	17	34	6	53	64	458	6	7	38	57	154	19	100	100	40	2000	175	30071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
182	Urs Flamand Negru	0	0	4	19			0	1		0	bear	0	36	14	21	7	60	74	499	6	7	30	46	270	24	100	100	40	2000	175	30053	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
183	Urs Flamand Brun	1	0	4	21			0	1		0	bear	0	35	15	23	8	65	79	676	6	12	50	75	357	26	100	100	40	2000	175	30072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
184	Tigru Flamand	0	0	4	18			0	1		0	tiger	0	18	20	27	7	59	72	468	6	12	29	44	256	22	100	100	50	2000	175	30038	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	1	0	0	16764108	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
185	Tigru Flamand Alb	1	0	4	24		1	0	1		0	tiger	0	25	17	45	9	71	86	805	10	22	56	84	407	29	100	130	50	2000	175	30023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	1.4	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
191	Lykos	3	0	0	30			0	1	43	0	mountain_dog_god	0	39	20	30	10	52	96	10000	4	12	116	174	2420	35	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
192	Scrofa	3	0	0	31			0	1	43	0	wild_boar_god	0	30	20	41	10	68	84	10000	14	17	119	179	2500	37	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
193	Bera	3	0	5	33			0	1	43	0	bear	0	32	22	43	11	72	88	10000	19	22	126	190	2660	39	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0
194	Tigris	3	0	4	35			0	1	43	0	tiger	0	23	45	34	11	67	100	10000	24	27	134	201	2820	41	100	140	100	2000	175	0	0	0	0	0	3	5	20	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
301	Amazoanã Soldat	0	0	0	18			0	8	2	0	bksoldier	0	27	20	13	7	49	60	613	6	5	32	48	365	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
302	Arcaº Amazoanã	0	0	1	20			0	8	2	0	bkarcher	0	22	29	15	7	46	70	506	6	7	64	96	405	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
303	Amazoanã General	1	0	0	25			0	8	2	0	bkknight	0	35	26	18	9	47	88	1115	8	12	63	95	848	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
304	Amazoanã Comandant	1	0	0	25		1	0	8	2	0	bkknight	0	35	26	18	9	61	74	1115	8	12	63	95	848	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	Amazoanã Soldat	1	0	0	18		1	0	8	2	0	bksoldier	0	27	20	13	7	56	69	1450	12	7	150	225	558	22	110	120	35	2000	150	30034	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
332	Amazoanã Arcaº	1	0	1	20		1	0	8	2	0	bkarcher	0	22	29	15	7	53	80	1622	12	7	162	243	606	25	70	130	35	2000	650	30031	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	Amazoanã General	2	0	0	25		1	0	8	2	0	bkknight	0	35	26	18	9	53	99	3207	10	7	192	288	1452	30	110	120	35	2000	150	30011	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
334	Amazoanã Comandant	2	0	0	25		1	0	8	2	0	bkknight	0	35	26	18	9	53	99	3207	10	7	192	288	1452	30	110	120	35	2000	150	30073	0	0	0	0	0	10	10	0	0	-5	0	0	0	0	0	0	0	0	2	0	0	13434828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
351	Amazoanã Soldat Laºã	1	0	0	18			0	8	2	0	bksoldier	0	27	20	13	7	59	72	490	6	5	32	48	256	22	100	120	35	2000	175	30034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
352	Amazoanã Arcaº Laºã	1	0	1	20			0	8	2	0	bkarcher	0	22	29	15	7	55	84	404	6	7	64	96	284	25	60	130	35	2000	650	30031	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
353	Amazoanã General Laºã	2	0	0	25			0	8	2	0	bkknight	0	35	26	18	9	56	106	892	8	12	63	95	594	30	100	120	35	2000	175	30011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
354	Amazoanã Comandant Laºã	2	0	0	25			0	8	2	0	bkknight	0	35	26	18	9	73	89	892	8	12	63	95	594	30	100	120	35	2000	175	30073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4	0	0	16764108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
391	Mi-Jung	3	0	2	23			0	8	2	0	bksecond	0	32	16	24	8	44	82	2076	9	17	99	149	2604	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
392	Eun-Jung	3	0	2	26			0	8	2	0	bkthird	0	36	18	27	9	48	89	2453	14	22	111	167	2940	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
393	Se-Rang	3	0	2	28			0	8	2	0	bkfourth	0	38	19	29	10	51	94	2692	19	27	119	179	3164	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
394	Jin-Hee	3	0	2	31			0	8	2	0	bkboss	0	42	21	31	10	55	101	3069	19	32	131	196	3500	37	100	150	100	2000	175	30073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
395	Tristul de Mi-Jung	3	0	2	23			0	8	2	0	bksecond	0	32	16	24	8	71	86	392	9	17	99	149	1823	28	100	150	100	2000	175	30018	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
396	Tristul de Eun-Jung	3	0	2	26			0	8	2	0	bkthird	0	36	18	27	9	66	101	324	14	22	111	167	2058	31	100	150	100	2000	175	30017	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
397	Tristul Se-Rang	3	0	2	28			0	8	2	0	bkfourth	0	38	19	29	10	68	127	714	19	27	119	179	2215	33	100	150	100	2000	175	30035	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
398	Tristul Jin-Hee	3	0	2	31			0	8	2	0	bkboss	0	42	21	31	10	88	107	714	19	32	131	196	2450	37	100	150	100	2000	175	30073	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	70107	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0
401	Soldat vânt negru	0	0	0	26			0	16392		0	thief1	0	36	18	27	9	62	75	981	6	5	39	58	735	31	100	110	50	2000	175	30032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-70	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
402	Posedat de vânt negru	0	0	0	27			0	16392		0	thief2	0	37	19	28	9	70	100	1027	8	10	40	60	763	32	80	150	50	2000	175	30074	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-70	0	1	0	0	0	70104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
403	Arcaº vânt negru	0	0	1	29			0	16392		0	thief3	0	30	39	10	10	67	82	818	6	7	85	128	819	34	60	150	50	2000	850	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	-70	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
404	vânt negru Jak-To	1	0	4	30			0	16392		0	thiefboss1	0	30	20	45	10	65	110	1411	8	12	68	102	1016	35	100	100	50	2000	175	30021	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-60	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
405	vânt negru To-Su	1	0	0	33			0	16392		0	thiefboss2	0	33	22	33	11	57	105	1625	6	7	74	111	1117	39	120	150	50	2000	175	30005	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-60	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
406	vânt negru Gu-Ryung	1	0	0	35			0	16392		0	thiefboss3	0	35	23	42	12	59	110	1736	8	12	78	117	1184	41	100	100	50	2000	175	30030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-60	0	1.4	0	0	0	70105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
431	Soldat de atac negru	2	0	0	31			0	16392	2	0	thief1	0	37	25	49	12	55	101	1571	12	9	264	396	750	37	110	100	100	2000	150	0	0	0	0	0	5	15	15	0	0	-5	0	0	0	0	0	0	-50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
432	Posedat de atac negru	2	0	0	33			0	16392	2	0	thief2	0	37	49	25	12	73	89	1733	12	9	280	420	798	39	110	150	100	2000	150	0	0	0	0	5	0	15	15	0	0	-5	0	0	0	0	0	0	-50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
433	Arcaº negru	2	0	1	35			0	16392	2	0	thief3	0	38	25	50	13	59	110	1852	12	9	296	444	846	41	70	120	100	2000	850	0	0	0	0	5	5	15	15	0	0	-5	0	0	0	0	0	0	-50	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0
