54r	prob	cost	vnum0	count0	vnum1	count1	vnum2	count2	vnum3	count3	vnum4	count4
93	95	4000	0	0	0	0	0	0	0	0	0	0
94	86	8000	0	0	0	0	0	0	0	0	0	0
95	77	13000	30008	2	0	0	0	0	0	0	0	0
96	68	20000	30075	2	0	0	0	0	0	0	0	0
97	59	40000	30006	2	27799	1	0	0	0	0	0	0
98	50	70000	30022	1	27987	1	0	0	0	0	0	0
99	41	120000	30067	2	27987	1	0	0	0	0	0	0
100	95	1200	0	0	0	0	0	0	0	0	0	0
101	86	2500	0	0	0	0	0	0	0	0	0	0
102	77	5000	0	0	0	0	0	0	0	0	0	0
103	68	10000	0	0	0	0	0	0	0	0	0	0
104	59	20000	30079	1	0	0	0	0	0	0	0	0
105	50	30000	30015	1	0	0	0	0	0	0	0	0
106	41	45000	30086	2	27992	1	0	0	0	0	0	0
107	32	90000	30050	2	27993	1	0	0	0	0	0	0
108	23	150000	30091	2	27994	1	0	0	0	0	0	0
109	95	600	0	0	0	0	0	0	0	0	0	0
110	95	1200	0	0	0	0	0	0	0	0	0	0
111	95	2500	0	0	0	0	0	0	0	0	0	0
112	95	5000	0	0	0	0	0	0	0	0	0	0
113	86	10000	0	0	0	0	0	0	0	0	0	0
114	68	20000	0	0	0	0	0	0	0	0	0	0
115	59	30000	30071	2	0	0	0	0	0	0	0	0
116	50	45000	30018	2	0	0	0	0	0	0	0	0
117	41	75000	30017	2	0	0	0	0	0	0	0	0
118	95	1000	0	0	0	0	0	0	0	0	0	0
119	95	2000	0	0	0	0	0	0	0	0	0	0
120	95	4000	0	0	0	0	0	0	0	0	0	0
121	86	8000	0	0	0	0	0	0	0	0	0	0
122	77	13000	30005	2	0	0	0	0	0	0	0	0
123	68	20000	30076	2	0	0	0	0	0	0	0	0
124	59	40000	30051	1	27799	1	0	0	0	0	0	0
125	50	70000	30081	1	27987	1	0	0	0	0	0	0
126	41	120000	30047	2	27987	1	0	0	0	0	0	0
127	95	1200	0	0	0	0	0	0	0	0	0	0
128	86	2500	0	0	0	0	0	0	0	0	0	0
129	77	5000	0	0	0	0	0	0	0	0	0	0
130	68	10000	0	0	0	0	0	0	0	0	0	0
131	59	20000	30009	1	0	0	0	0	0	0	0	0
132	50	30000	30080	1	0	0	0	0	0	0	0	0
133	41	45000	30040	2	27992	1	0	0	0	0	0	0
134	32	90000	30049	2	27993	1	0	0	0	0	0	0
135	23	150000	30090	2	27994	1	0	0	0	0	0	0
136	95	600	0	0	0	0	0	0	0	0	0	0
137	95	1200	0	0	0	0	0	0	0	0	0	0
138	95	2500	0	0	0	0	0	0	0	0	0	0
139	95	5000	0	0	0	0	0	0	0	0	0	0
140	86	10000	0	0	0	0	0	0	0	0	0	0
141	68	20000	0	0	0	0	0	0	0	0	0	0
142	59	30000	30038	1	0	0	0	0	0	0	0	0
143	50	45000	30023	2	0	0	0	0	0	0	0	0
144	41	75000	30074	2	0	0	0	0	0	0	0	0
145	95	1000	0	0	0	0	0	0	0	0	0	0
146	95	2000	0	0	0	0	0	0	0	0	0	0
147	95	4000	0	0	0	0	0	0	0	0	0	0
148	86	8000	0	0	0	0	0	0	0	0	0	0
149	77	13000	30007	2	0	0	0	0	0	0	0	0
150	68	20000	30078	2	0	0	0	0	0	0	0	0
151	59	40000	30045	2	27799	1	0	0	0	0	0	0
152	50	70000	30055	2	27987	1	0	0	0	0	0	0
153	41	120000	30047	2	27987	1	0	0	0	0	0	0
154	95	1200	0	0	0	0	0	0	0	0	0	0
155	86	2500	0	0	0	0	0	0	0	0	0	0
156	77	5000	0	0	0	0	0	0	0	0	0	0
157	68	10000	0	0	0	0	0	0	0	0	0	0
158	59	20000	30059	2	0	0	0	0	0	0	0	0
159	50	30000	30080	2	0	0	0	0	0	0	0	0
160	41	45000	30085	2	27992	1	0	0	0	0	0	0
161	32	90000	30014	2	27993	1	0	0	0	0	0	0
162	23	150000	30042	2	27994	1	0	0	0	0	0	0
163	95	600	0	0	0	0	0	0	0	0	0	0
164	95	1200	0	0	0	0	0	0	0	0	0	0
165	95	2500	0	0	0	0	0	0	0	0	0	0
166	95	5000	0	0	0	0	0	0	0	0	0	0
167	86	10000	0	0	0	0	0	0	0	0	0	0
168	68	20000	0	0	0	0	0	0	0	0	0	0
169	59	30000	30010	2	0	0	0	0	0	0	0	0
170	50	45000	30031	1	0	0	0	0	0	0	0	0
171	41	75000	30032	2	0	0	0	0	0	0	0	0
172	95	1000	0	0	0	0	0	0	0	0	0	0
173	95	2000	0	0	0	0	0	0	0	0	0	0
174	95	4000	0	0	0	0	0	0	0	0	0	0
175	86	8000	0	0	0	0	0	0	0	0	0	0
176	77	13000	30021	2	0	0	0	0	0	0	0	0
177	68	20000	30008	2	0	0	0	0	0	0	0	0
178	59	40000	30057	2	27799	1	0	0	0	0	0	0
179	50	70000	30006	2	27987	1	0	0	0	0	0	0
180	41	120000	30022	2	27987	1	0	0	0	0	0	0
181	95	1200	0	0	0	0	0	0	0	0	0	0
182	86	2500	0	0	0	0	0	0	0	0	0	0
183	77	5000	0	0	0	0	0	0	0	0	0	0
184	68	10000	0	0	0	0	0	0	0	0	0	0
185	59	20000	30082	2	0	0	0	0	0	0	0	0
186	50	30000	30079	2	0	0	0	0	0	0	0	0
187	41	45000	30087	2	27992	1	0	0	0	0	0	0
188	32	90000	30086	2	27993	1	0	0	0	0	0	0
189	23	150000	30050	2	27994	1	0	0	0	0	0	0
190	95	600	0	0	0	0	0	0	0	0	0	0
191	95	1200	0	0	0	0	0	0	0	0	0	0
192	95	2500	0	0	0	0	0	0	0	0	0	0
193	95	5000	0	0	0	0	0	0	0	0	0	0
194	86	10000	0	0	0	0	0	0	0	0	0	0
195	68	20000	0	0	0	0	0	0	0	0	0	0
196	59	30000	30038	2	0	0	0	0	0	0	0	0
197	50	45000	30011	2	0	0	0	0	0	0	0	0
198	41	75000	30074	1	0	0	0	0	0	0	0	0
199	95	1000	0	0	0	0	0	0	0	0	0	0
200	95	2000	0	0	0	0	0	0	0	0	0	0
201	95	4000	0	0	0	0	0	0	0	0	0	0
202	86	8000	0	0	0	0	0	0	0	0	0	0
203	77	13000	30007	2	0	0	0	0	0	0	0	0
204	68	20000	30046	2	0	0	0	0	0	0	0	0
205	59	40000	30045	2	27799	1	0	0	0	0	0	0
206	50	70000	30055	2	27987	1	0	0	0	0	0	0
207	41	120000	30058	2	27987	1	0	0	0	0	0	0
208	100	500000	0	0	0	0	0	0	0	0	0	0
209	92	600000	0	0	0	0	0	0	0	0	0	0
210	77	700000	0	0	0	0	0	0	0	0	0	0
211	68	800000	0	0	0	0	0	0	0	0	0	0
212	59	900000	30059	2	0	0	0	0	0	0	0	0
213	50	1000000	30060	2	0	0	0	0	0	0	0	0
214	41	1100000	30061	2	27992	1	0	0	0	0	0	0
215	32	1200000	30014	2	27993	1	0	0	0	0	0	0
216	27	1300000	30042	2	27994	1	0	0	0	0	0	0
217	95	600	0	0	0	0	0	0	0	0	0	0
218	95	1200	0	0	0	0	0	0	0	0	0	0
219	95	2500	0	0	0	0	0	0	0	0	0	0
220	95	5000	0	0	0	0	0	0	0	0	0	0
221	86	10000	0	0	0	0	0	0	0	0	0	0
222	68	20000	0	0	0	0	0	0	0	0	0	0
223	59	30000	30071	2	0	0	0	0	0	0	0	0
224	50	45000	30023	1	0	0	0	0	0	0	0	0
225	41	75000	30074	2	0	0	0	0	0	0	0	0
226	100	1000	0	0	0	0	0	0	0	0	0	0
227	98	2000	0	0	0	0	0	0	0	0	0	0
228	95	4000	0	0	0	0	0	0	0	0	0	0
229	86	8000	0	0	0	0	0	0	0	0	0	0
230	77	13000	30005	1	0	0	0	0	0	0	0	0
231	68	20000	30078	1	0	0	0	0	0	0	0	0
232	59	40000	30051	1	27799	1	0	0	0	0	0	0
233	50	70000	30055	2	27987	1	0	0	0	0	0	0
234	41	120000	30047	2	27987	1	0	0	0	0	0	0
235	95	1200	0	0	0	0	0	0	0	0	0	0
236	86	2500	0	0	0	0	0	0	0	0	0	0
237	77	5000	0	0	0	0	0	0	0	0	0	0
238	68	10000	0	0	0	0	0	0	0	0	0	0
239	59	20000	30059	2	0	0	0	0	0	0	0	0
240	50	30000	30080	2	0	0	0	0	0	0	0	0
241	41	45000	30085	2	27992	1	0	0	0	0	0	0
242	32	90000	30049	2	27993	1	0	0	0	0	0	0
243	23	150000	30042	2	27994	1	0	0	0	0	0	0
244	95	600	0	0	0	0	0	0	0	0	0	0
245	95	1200	0	0	0	0	0	0	0	0	0	0
246	95	2500	0	0	0	0	0	0	0	0	0	0
247	95	5000	30021	2	0	0	0	0	0	0	0	0
248	86	10000	30033	2	0	0	0	0	0	0	0	0
249	68	20000	30030	2	0	0	0	0	0	0	0	0
250	59	30000	30070	2	0	0	0	0	0	0	0	0
251	50	45000	30018	2	0	0	0	0	0	0	0	0
252	41	75000	30017	2	0	0	0	0	0	0	0	0
253	95	1000	0	0	0	0	0	0	0	0	0	0
254	95	2000	0	0	0	0	0	0	0	0	0	0
255	95	4000	0	0	0	0	0	0	0	0	0	0
256	86	8000	0	0	0	0	0	0	0	0	0	0
257	77	13000	30041	2	0	0	0	0	0	0	0	0
258	68	20000	30076	2	0	0	0	0	0	0	0	0
259	59	40000	30051	2	27799	1	0	0	0	0	0	0
260	50	70000	30081	2	27987	1	0	0	0	0	0	0
261	41	120000	30077	2	27987	1	0	0	0	0	0	0
262	95	500000	0	0	0	0	0	0	0	0	0	0
263	86	600000	0	0	0	0	0	0	0	0	0	0
264	77	700000	0	0	0	0	0	0	0	0	0	0
265	68	800000	0	0	0	0	0	0	0	0	0	0
266	59	900000	30009	2	0	0	0	0	0	0	0	0
267	50	1000000	30039	2	0	0	0	0	0	0	0	0
268	41	1100000	30040	2	27992	1	0	0	0	0	0	0
269	32	1200000	30048	2	27993	1	0	0	0	0	0	0
270	27	1300000	30090	2	27994	1	0	0	0	0	0	0
271	100	600	0	0	0	0	0	0	0	0	0	0
272	95	1200	0	0	0	0	0	0	0	0	0	0
273	95	2500	0	0	0	0	0	0	0	0	0	0
274	95	5000	0	0	0	0	0	0	0	0	0	0
275	86	10000	0	0	0	0	0	0	0	0	0	0
276	68	20000	0	0	0	0	0	0	0	0	0	0
277	59	30000	30010	1	0	0	0	0	0	0	0	0
278	50	45000	30072	2	0	0	0	0	0	0	0	0
279	41	75000	30032	1	0	0	0	0	0	0	0	0
280	95	1000	0	0	0	0	0	0	0	0	0	0
281	95	2000	0	0	0	0	0	0	0	0	0	0
282	95	4000	0	0	0	0	0	0	0	0	0	0
283	86	8000	0	0	0	0	0	0	0	0	0	0
284	77	13000	30021	1	0	0	0	0	0	0	0	0
285	68	20000	30008	1	0	0	0	0	0	0	0	0
286	59	40000	30057	1	27799	1	0	0	0	0	0	0
287	50	70000	30006	2	27987	1	0	0	0	0	0	0
288	41	120000	30077	2	27987	1	0	0	0	0	0	0
289	95	500000	0	0	0	0	0	0	0	0	0	0
290	86	600000	0	0	0	0	0	0	0	0	0	0
291	77	700000	0	0	0	0	0	0	0	0	0	0
292	68	800000	0	0	0	0	0	0	0	0	0	0
293	59	900000	30082	2	0	0	0	0	0	0	0	0
294	50	1000000	30039	2	0	0	0	0	0	0	0	0
295	41	1100000	30087	2	27992	1	0	0	0	0	0	0
296	32	1200000	30086	2	27993	1	0	0	0	0	0	0
297	27	1300000	30050	2	27994	1	0	0	0	0	0	0
298	95	600	0	0	0	0	0	0	0	0	0	0
299	95	1200	0	0	0	0	0	0	0	0	0	0
300	95	2500	0	0	0	0	0	0	0	0	0	0
301	95	5000	0	0	0	0	0	0	0	0	0	0
302	86	10000	0	0	0	0	0	0	0	0	0	0
303	68	20000	0	0	0	0	0	0	0	0	0	0
304	59	30000	30053	1	0	0	0	0	0	0	0	0
305	50	45000	30073	1	0	0	0	0	0	0	0	0
306	41	75000	30035	2	0	0	0	0	0	0	0	0
307	95	1000	0	0	0	0	0	0	0	0	0	0
308	95	2000	0	0	0	0	0	0	0	0	0	0
309	95	4000	0	0	0	0	0	0	0	0	0	0
310	86	8000	0	0	0	0	0	0	0	0	0	0
311	77	13000	30030	2	0	0	0	0	0	0	0	0
312	68	20000	30075	2	0	0	0	0	0	0	0	0
313	59	40000	30056	2	27799	1	0	0	0	0	0	0
314	50	70000	30025	2	27987	1	0	0	0	0	0	0
315	41	120000	30067	2	27987	1	0	0	0	0	0	0
316	95	500000	0	0	0	0	0	0	0	0	0	0
317	86	600000	0	0	0	0	0	0	0	0	0	0
318	77	700000	0	0	0	0	0	0	0	0	0	0
319	68	800000	0	0	0	0	0	0	0	0	0	0
320	59	900000	30083	2	0	0	0	0	0	0	0	0
321	50	1000000	30015	2	0	0	0	0	0	0	0	0
322	41	1100000	30016	2	27992	1	0	0	0	0	0	0
323	32	1200000	30089	2	27993	1	0	0	0	0	0	0
324	27	1300000	30019	2	27994	1	0	0	0	0	0	0
325	95	600	0	0	0	0	0	0	0	0	0	0
326	95	1200	0	0	0	0	0	0	0	0	0	0
327	95	2500	0	0	0	0	0	0	0	0	0	0
328	95	5000	0	0	0	0	0	0	0	0	0	0
329	86	10000	0	0	0	0	0	0	0	0	0	0
330	68	20000	0	0	0	0	0	0	0	0	0	0
331	59	30000	30034	2	0	0	0	0	0	0	0	0
332	50	45000	30073	2	0	0	0	0	0	0	0	0
333	41	75000	30035	2	0	0	0	0	0	0	0	0
334	95	1000	0	0	0	0	0	0	0	0	0	0
335	95	2000	0	0	0	0	0	0	0	0	0	0
336	95	4000	0	0	0	0	0	0	0	0	0	0
337	86	8000	0	0	0	0	0	0	0	0	0	0
338	77	13000	30052	2	0	0	0	0	0	0	0	0
339	68	20000	30046	2	0	0	0	0	0	0	0	0
340	59	40000	30056	2	27799	1	0	0	0	0	0	0
341	50	70000	30025	2	27987	1	0	0	0	0	0	0
342	41	120000	30058	2	27987	1	0	0	0	0	0	0
343	95	1200	0	0	0	0	0	0	0	0	0	0
344	86	2500	0	0	0	0	0	0	0	0	0	0
345	77	5000	0	0	0	0	0	0	0	0	0	0
346	68	10000	0	0	0	0	0	0	0	0	0	0
347	59	20000	30083	2	0	0	0	0	0	0	0	0
348	50	30000	30060	2	0	0	0	0	0	0	0	0
349	41	45000	30061	2	30193	2	0	0	0	0	0	0
350	32	90000	30088	2	30193	4	0	0	0	0	0	0
351	23	150000	30019	2	30193	6	0	0	0	0	0	0
352	85	3000	0	0	0	0	0	0	0	0	0	0
353	80	6000	0	0	0	0	0	0	0	0	0	0
354	75	12000	0	0	0	0	0	0	0	0	0	0
355	70	25000	0	0	0	0	0	0	0	0	0	0
356	65	40000	0	0	0	0	0	0	0	0	0	0
357	60	60000	0	0	0	0	0	0	0	0	0	0
358	55	90000	0	0	0	0	0	0	0	0	0	0
359	50	120000	0	0	0	0	0	0	0	0	0	0
360	45	150000	0	0	0	0	0	0	0	0	0	0
400	59	20000	30049	4	0	0	0	0	0	0	0	0
401	50	30000	30019	4	0	0	0	0	0	0	0	0
402	77	5000	0	0	0	0	0	0	0	0	0	0
403	68	10000	0	0	0	0	0	0	0	0	0	0
404	59	20000	30083	2	0	0	0	0	0	0	0	0
405	50	30000	30060	2	0	0	0	0	0	0	0	0
406	41	45000	30061	2	30193	2	0	0	0	0	0	0
407	32	90000	30088	2	30193	4	0	0	0	0	0	0
408	23	150000	30019	2	30193	6	0	0	0	0	0	0
426	95	2000	0	0	0	0	0	0	0	0	0	0
427	95	4000	0	0	0	0	0	0	0	0	0	0
428	95	8000	0	0	0	0	0	0	0	0	0	0
429	86	16000	0	0	0	0	0	0	0	0	0	0
430	77	26000	30005	1	0	0	0	0	0	0	0	0
431	68	40000	30078	1	0	0	0	0	0	0	0	0
432	59	80000	30051	1	27799	1	0	0	0	0	0	0
433	50	150000	30055	2	27987	1	0	0	0	0	0	0
434	41	240000	30047	2	27987	1	0	0	0	0	0	0
501	100	250000000	27992	3	27993	3	27994	3	27991	4	70031	5
502	100	500000	0	0	0	0	0	0	0	0	0	0
503	90	1000000	0	0	0	0	0	0	0	0	0	0
504	80	2000000	0	0	0	0	0	0	0	0	0	0
505	70	3000000	27991	1	30086	5	0	0	0	0	0	0
506	55	4000000	27991	1	30091	5	0	0	0	0	0	0
507	45	5000000	27991	2	30050	5	0	0	0	0	0	0
508	35	10000000	27992	5	30083	10	0	0	0	0	0	0
509	30	15000000	27993	5	30040	10	0	0	0	0	0	0
510	25	20000000	27994	5	30089	10	0	0	0	0	0	0
531	100	500000	0	0	0	0	0	0	0	0	0	0
532	90	1000000	30017	3	30073	4	0	0	0	0	0	0
533	80	2000000	30074	3	30005	3	0	0	0	0	0	0
534	70	3000000	27991	1	30196	2	0	0	0	0	0	0
535	55	4000000	27991	1	30082	2	0	0	0	0	0	0
536	45	5000000	27991	2	30195	2	0	0	0	0	0	0
537	35	10000000	27992	5	30197	4	0	0	0	0	0	0
538	30	15000000	27993	5	30198	2	0	0	0	0	0	0
539	25	20000000	27994	5	30199	2	0	0	0	0	0	0
701	50	500000	0	0	0	0	0	0	0	0	0	0
702	30	2000000	0	0	0	0	0	0	0	0	0	0
751	50	100000	0	0	0	0	0	0	0	0	0	0
752	59	500000	0	0	0	0	0	0	0	0	0	0
753	41	2000000	0	0	0	0	0	0	0	0	0	0
758	100	125000	71123	2	71129	3	0	0	0	0	0	0
759	100	200000	71123	3	71129	4	0	0	0	0	0	0
761	90	1000000	30018	5			0	0	0	0	0	0
762	85	2000000	30075	5			0	0	0	0	0	0
763	80	3000000	30082	5			0	0	0	0	0	0
764	65	4000000	27991	1	30059	5	0	0	0	0	0	0
765	55	5000000	27991	1	30050	5	0	0	0	0	0	0
766	45	6000000	27991	1	30042	5	0	0	0	0	0	0
767	35	7000000	27991	2	31044	1	0	0	0	0	0	0
768	30	8000000	27991	3	31019	1	0	0	0	0	0	0
769	25	9000000	27991	4	31045	1	0	0	0	0	0	0
770	100	50000000	71129	4	71123	4	27991	4	30082	4	0	0
771	90	500000	0	0	0	0	0	0	0	0	0	0
772	85	1000000	30042	2	30085	2	0	0	0	0	0	0
773	80	2000000	30049	3	30080	3	0	0	0	0	0	0
774	65	3000000	30192	3	30059	2	0	0	0	0	0	0
775	55	4000000	30194	3	27987	25	0	0	0	0	0	0
776	45	5000000	30195	2	27991	3	0	0	0	0	0	0
777	35	10000000	30197	4	27992	3	0	0	0	0	0	0
778	30	15000000	30198	2	27993	3	0	0	0	0	0	0
779	25	20000000	30199	2	27994	3	0	0	0	0	0	0
781	95	250000	30034	1	30030	1	0	0	0	0	0	0
782	85	500000	30038	1	30023	1	0	0	0	0	0	0
783	80	1000000	30031	1	30017	1	0	0	0	0	0	0
784	75	1500000	30056	2	30022	2	0	0	0	0	0	0
785	70	2000000	30021	1	30033	2	0	0	0	0	0	0
786	60	2500000	30008	1	30007	2	0	0	0	0	0	0
787	50	3000000	30057	2	27799	2	0	0	0	0	0	0
788	45	3500000	30006	4	27987	3	0	0	0	0	0	0
789	40	4000000	30077	4	27987	4	0	0	0	0	0	0
881	100	100000	0	0	0	0	0	0	0	0	0	0
882	90	200000	0	0	0	0	0	0	0	0	0	0
883	80	300000	0	0	0	0	0	0	0	0	0	0
884	75	500000	0	0	0	0	0	0	0	0	0	0
885	60	750000	30051	3	0	0	0	0	0	0	0	0
886	50	1000000	30015	3	0	0	0	0	0	0	0	0
887	40	1500000	30016	6	27992	1	0	0	0	0	0	0
888	35	3000000	30089	6	27993	1	0	0	0	0	0	0
889	30	5000000	30091	6	27994	1	0	0	0	0	0	0
891	90	100000	0	0	0	0	0	0	0	0	0	0
892	85	200000	0	0	0	0	0	0	0	0	0	0
893	80	300000	0	0	0	0	0	0	0	0	0	0
894	65	500000	0	0	0	0	0	0	0	0	0	0
895	55	750000	30079	6	0	0	0	0	0	0	0	0
896	45	1000000	30015	6	0	0	0	0	0	0	0	0
897	35	1500000	30016	6	27992	1	0	0	0	0	0	0
898	30	3000000	30089	6	27993	1	0	0	0	0	0	0
899	25	5000000	30091	6	27994	1	0	0	0	0	0	0
901	100	100000	0	0	0	0	0	0	0	0	0	0
902	90	200000	0	0	0	0	0	0	0	0	0	0
903	80	300000	0	0	0	0	0	0	0	0	0	0
904	75	500000	0	0	0	0	0	0	0	0	0	0
905	60	750000	30082	3	27799	3	0	0	0	0	0	0
906	50	1000000	30079	3	27987	3	0	0	0	0	0	0
907	40	1500000	30087	6	27992	1	0	0	0	0	0	0
908	35	3000000	30086	6	27993	1	0	0	0	0	0	0
909	30	5000000	30050	6	27994	1	0	0	0	0	0	0
911	100	500000	0	0	0	0	0	0	0	0	0	0
912	85	1000000	0	0	0	0	0	0	0	0	0	0
913	80	2000000	30049	2	0	0	0	0	0	0	0	0
914	65	3000000	30019	2	0	0	0	0	0	0	0	0
915	55	4000000	30192	2	0	0	0	0	0	0	0	0
916	45	5000000	30194	2	0	0	0	0	0	0	0	0
917	35	6000000	30061	4	27992	3	0	0	0	0	0	0
918	30	8000000	30014	4	27993	3	0	0	0	0	0	0
919	25	10000000	30042	4	27994	3	0	0	0	0	0	0
920	90	1000000	30034	5	0	0	0	0	0	0	0	0
921	85	2000000	30092	5	0	0	0	0	0	0	0	0
922	80	3000000	30046	5	0	0	0	0	0	0	0	0
923	65	4000000	30025	5	27991	1	0	0	0	0	0	0
924	55	5000000	30049	5	27991	1	0	0	0	0	0	0
925	45	6000000	30080	5	27991	1	0	0	0	0	0	0
926	90	1000000	30027	5	0	0	0	0	0	0	0	0
927	85	2000000	30023	5	0	0	0	0	0	0	0	0
928	80	3000000	30041	5	0	0	0	0	0	0	0	0
929	65	4000000	30052	5	27991	1	0	0	0	0	0	0
930	55	5000000	30067	5	27991	1	0	0	0	0	0	0
931	45	6000000	30048	5	27991	1	0	0	0	0	0	0
932	90	1000000	30035	5	0	0	0	0	0	0	0	0
933	85	2000000	30031	5	0	0	0	0	0	0	0	0
934	80	3000000	30022	5	0	0	0	0	0	0	0	0
935	65	4000000	30081	5	27991	1	0	0	0	0	0	0
936	55	5000000	30058	5	27991	1	0	0	0	0	0	0
937	45	6000000	30193	5	27991	1	0	0	0	0	0	0
938	100	1000000	30034	2	30030	2	0	0	0	0	0	0
939	95	2000000	30038	2	30023	2	0	0	0	0	0	0
940	90	3000000	30031	2	30017	2	0	0	0	0	0	0
941	80	4000000	30056	2	30022	2	0	0	0	0	0	0
942	70	5000000	30021	2	30033	2	0	0	0	0	0	0
943	55	6000000	30008	2	30007	2	0	0	0	0	0	0
944	47	7000000	30057	2	27799	2	79605	2	0	0	0	0
945	42	8000000	30006	4	27987	5	79605	3	0	0	0	0
946	35	9000000	30077	4	27987	5	30550	1	0	0	0	0
