ITEM_VNUM~RANGE	ITEM_NAME(K)	ITEM_TYPE	SUB_TYPE	SIZE	ANTI_FLAG	FLAG	ITEM_WEAR	IMMUNE	GOLD	SHOP_BUY_PRICE	REFINE	REFINESET	MAGIC_PCT	LIMIT_TYPE0	LIMIT_VALUE0	LIMIT_TYPE1	LIMIT_VALUE1	ADDON_TYPE0	ADDON_VALUE0	ADDON_TYPE1	ADDON_VALUE1	ADDON_TYPE2	ADDON_VALUE2	VALUE0	VALUE1	VALUE2	VALUE3	VALUE4	VALUE5	Specular	SOCKET	ATTU_ADDON
23	Sabie lunga+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	125	24	4	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	21	0	1	0
24	Sabie lunga+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	125	25	5	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	28	30	1	0
25	Sabie lunga+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	250	26	6	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	35	40	1	0
26	Sabie lunga+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	250	27	7	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	42	50	1	0
27	Sabie lunga+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	375	28	8	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	49	65	1	0
28	Sabie lunga+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	500	29	9	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	56	80	1	0
29	Sabie lunga+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	200	750	0	0	15	1	5	0	0	7	27	0	0	0	0	0	13	15	15	19	63	100	1	0
30	Iatagan+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	150	31	1	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	0	0	1	0
31	Iatagan+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	150	32	2	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	7	0	1	0
32	Iatagan+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	150	33	3	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	14	0	1	0
33	Iatagan+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	250	34	4	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	21	0	1	0
34	Iatagan+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	250	35	5	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	28	30	1	0
35	Iatagan+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	375	36	6	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	35	40	1	0
36	Iatagan+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	375	37	7	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	42	50	1	0
37	Iatagan+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	500	38	8	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	49	65	1	0
38	Iatagan+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	750	39	9	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	56	80	1	0
39	Iatagan+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	300	1125	0	0	15	1	10	0	0	7	24	0	0	0	0	0	20	24	20	24	63	100	1	0
40	Sabie bambus+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	200	41	1	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	0	0	1	0
41	Sabie bambus+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	250	42	2	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	7	0	1	0
42	Sabie bambus+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	250	43	3	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	14	0	1	0
43	Sabie bambus+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	250	44	4	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	21	0	1	0
44	Sabie bambus+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	375	45	5	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	28	30	1	0
45	Sabie bambus+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	375	46	6	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	35	40	1	0
46	Sabie bambus+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	500	47	7	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	42	50	1	0
47	Sabie bambus+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	750	48	8	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	49	65	1	0
48	Sabie bambus+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	1000	49	9	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	56	80	1	0
49	Sabie bambus+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	400	1500	0	0	15	1	15	0	0	7	21	0	0	0	0	0	25	35	22	26	63	100	1	0
50	Sabie lata+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	750	51	1	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	0	0	1	0
51	Sabie lata+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	875	52	2	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	7	0	1	0
52	Sabie lata+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	875	53	3	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	14	0	1	0
53	Sabie lata+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	1000	54	4	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	21	0	1	0
54	Sabie lata+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	1250	55	5	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	28	30	1	0
55	Sabie lata+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	1625	56	6	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	35	40	1	0
56	Sabie lata+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	2000	57	7	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	42	50	1	0
57	Sabie lata+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	2750	58	8	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	49	65	1	0
58	Sabie lata+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	3875	59	9	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	56	80	1	0
59	Sabie lata+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	1500	5750	0	0	15	1	20	0	0	7	15	0	0	0	0	0	20	28	25	35	63	100	1	0
60	Sabie de argint+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	1250	61	10	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	0	0	2	0
61	Sabie de argint+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	1375	62	11	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	6	0	2	0
62	Sabie de argint+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	1500	63	12	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	12	0	2	0
63	Sabie de argint+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	1750	64	13	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	18	0	2	0
64	Sabie de argint+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	2125	65	14	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	24	30	2	0
65	Sabie de argint+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	2625	66	15	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	32	40	2	0
66	Sabie de argint+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	3375	67	16	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	41	50	2	0
67	Sabie de argint+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	4625	68	17	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	51	65	2	0
68	Sabie de argint+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	6375	69	18	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	62	80	2	0
69	Sabie de argint+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	2500	9625	0	0	15	1	25	0	0	7	30	0	0	0	0	0	38	52	36	46	74	100	2	0
70	Sabie orhidee+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	2000	71	10	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	0	0	2	0
71	Sabie orhidee+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	2250	72	11	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	6	0	2	0
72	Sabie orhidee+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	2375	73	12	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	12	0	2	0
73	Sabie orhidee+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	2750	74	13	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	18	0	2	0
74	Sabie orhidee+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	3375	75	14	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	24	30	2	0
75	Sabie orhidee+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	4125	76	15	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	32	40	2	0
76	Sabie orhidee+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	5375	77	16	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	41	50	2	0
77	Sabie orhidee+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	7375	78	17	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	51	65	2	0
78	Sabie orhidee+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	10250	79	18	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	62	80	2	0
79	Sabie orhidee+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	4000	15375	0	0	15	1	32	0	0	7	27	0	0	0	0	0	36	46	38	52	74	100	2	0
80	Sabie bastard+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	3750	81	10	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	0	0	2	0
81	Sabie bastard+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	4125	82	11	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	6	0	2	0
82	Sabie bastard+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	4500	83	12	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	12	0	2	0
83	Sabie bastard+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	5250	84	13	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	18	0	2	0
84	Sabie bastard+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	6250	85	14	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	24	30	2	0
85	Sabie bastard+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	7875	86	15	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	32	40	2	0
86	Sabie bastard+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	10125	87	16	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	41	50	2	0
87	Sabie bastard+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	13750	88	17	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	51	65	2	0
88	Sabie bastard+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	19250	89	18	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	62	80	2	0
89	Sabie bastard+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	7500	28875	0	0	15	1	36	0	0	7	21	0	0	0	0	0	52	68	48	58	74	100	2	0
90	Sabie barbar+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	5000	91	10	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	0	0	2	0
91	Sabie barbar+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	5500	92	11	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	6	0	2	0
92	Sabie barbar+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	6000	93	12	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	12	0	2	0
93	Sabie barbar+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	7000	94	13	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	18	0	2	0
94	Sabie barbar+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	8375	95	14	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	24	30	2	0
95	Sabie barbar+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	10375	96	15	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	32	40	2	0
96	Sabie barbar+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	13625	97	16	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	41	50	2	0
97	Sabie barbar+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	18375	98	17	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	51	65	2	0
98	Sabie barbar+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	25625	99	18	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	62	80	2	0
99	Sabie barbar+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	10000	38500	0	0	15	1	40	0	0	7	15	0	0	0	0	0	48	58	52	68	74	100	2	0
100	Sabie sangeroasa+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	20000	101	19	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	0	0	3	0
101	Sabie sangeroasa+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	22500	102	20	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	5	0	3	0
102	Sabie sangeroasa+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	23750	103	21	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	10	0	3	0
103	Sabie sangeroasa+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	27500	104	22	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	15	0	3	0
104	Sabie sangeroasa+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	33750	105	23	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	20	30	3	0
105	Sabie sangeroasa+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	41250	106	24	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	27	40	3	0
106	Sabie sangeroasa+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	53750	107	25	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	35	50	3	0
107	Sabie sangeroasa+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	73750	108	26	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	44	65	3	0
108	Sabie sangeroasa+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	102500	109	27	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	54	80	3	0
109	Sabie sangeroasa+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	40000	153750	0	0	15	1	45	0	0	7	25	0	0	0	0	0	69	91	65	87	65	100	3	0
110	Sabie mare+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	27500	111	19	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	0	0	3	0
111	Sabie mare+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	30000	112	20	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	5	0	3	0
112	Sabie mare+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	33750	113	21	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	10	0	3	0
113	Sabie mare+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	38750	114	22	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	15	0	3	0
114	Sabie mare+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	46250	115	23	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	20	30	3	0
115	Sabie mare+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	57500	116	24	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	27	40	3	0
116	Sabie mare+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	75000	117	25	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	35	50	3	0
117	Sabie mare+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	101250	118	26	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	44	65	3	0
118	Sabie mare+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	141250	119	27	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	54	80	3	0
119	Sabie mare+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	55000	211250	0	0	15	1	50	0	0	7	22	0	0	0	0	0	65	87	69	91	65	100	3	0
120	Sabie vrajitor+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	35000	121	19	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	0	0	3	0
121	Sabie vrajitor+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	38750	122	20	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	5	0	3	0
122	Sabie vrajitor+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	42500	123	21	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	10	0	3	0
123	Sabie vrajitor+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	48750	124	22	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	15	0	3	0
124	Sabie vrajitor+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	58750	125	23	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	20	30	3	0
125	Sabie vrajitor+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	72500	126	24	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	27	40	3	0
126	Sabie vrajitor+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	95000	127	25	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	35	50	3	0
127	Sabie vrajitor+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	128750	128	26	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	44	65	3	0
128	Sabie vrajitor+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	180000	129	27	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	54	80	3	0
129	Sabie vrajitor+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	70000	268750	0	0	15	1	55	0	0	7	17	0	0	0	0	0	72	108	74	100	65	100	3	0
130	Sabie semiluna+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	45000	131	19	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	0	0	3	0
131	Sabie semiluna+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	50000	132	20	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	5	0	3	0
132	Sabie semiluna+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	55000	133	21	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	10	0	3	0
133	Sabie semiluna+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	62500	134	22	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	15	0	3	0
134	Sabie semiluna+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	75000	135	23	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	20	30	3	0
135	Sabie semiluna+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	93750	136	24	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	27	40	3	0
136	Sabie semiluna+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	122500	137	25	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	35	50	3	0
137	Sabie semiluna+7	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	165000	138	26	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	44	65	3	0
138	Sabie semiluna+8	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	231250	139	27	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	54	80	3	0
139	Sabie semiluna+9	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	90000	346250	0	0	15	1	60	0	0	7	15	0	0	0	0	0	74	100	72	108	65	100	3	0
140	Sabie de batalie+0	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	90000	141	881	15	1	65	0	0	7	15	0	0	0	0	0	65	87	100	140	0	0	3	0
141	Sabie de batalie+1	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	98750	142	882	15	1	65	0	0	7	15	0	0	0	0	0	63	85	100	140	8	0	3	0
142	Sabie de batalie+2	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	108750	143	883	15	1	65	0	0	7	15	0	0	0	0	0	61	83	100	140	17	0	3	0
143	Sabie de batalie+3	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	125000	144	884	15	1	65	0	0	7	15	0	0	0	0	0	59	81	100	140	27	0	3	0
144	Sabie de batalie+4	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	150000	145	885	15	1	65	0	0	7	15	0	0	0	0	0	57	79	100	140	38	30	3	0
145	Sabie de batalie+5	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	187500	146	886	15	1	65	0	0	7	15	0	0	0	0	0	55	77	100	140	50	40	3	0
146	Sabie de batalie+6	ITEM_WEAPON	WEAPON_SWORD	2	262176	1	16	NONE	180000	243750	147	887	15	1	65	0	0	7	15	0	0	0	0	0	53	75	100	140	63	50	3	0
