Vnum	LocaleName
131	Sabie semiluna+1
132	Sabie semiluna+2
133	Sabie semiluna+3
134	Sabie semiluna+4
135	Sabie semiluna+5
136	Sabie semiluna+6
137	Sabie semiluna+7
138	Sabie semiluna+8
139	Sabie semiluna+9
140	Sabie de batalie+0
141	Sabie de batalie+1
142	Sabie de batalie+2
143	Sabie de batalie+3
144	Sabie de batalie+4
145	Sabie de batalie+5
146	Sabie de batalie+6
147	Sabie de batalie+7
148	Sabie de batalie+8
149	Sabie de batalie+9
150	Lama Dintele Stafiei+0
151	Lama Dintele Stafiei+1
152	Lama Dintele Stafiei+2
153	Lama Dintele Stafiei+3
154	Lama Dintele Stafiei+4
155	Lama Dintele Stafiei+5
156	Lama Dintele Stafiei+6
157	Lama Dintele Stafiei+7
158	Lama Dintele Stafiei+8
159	Lama Dintele Stafiei+9
160	Sabie nimfa+0
161	Sabie nimfa+1
162	Sabie nimfa+2
163	Sabie nimfa+3
164	Sabie nimfa+4
165	Sabie nimfa+5
166	Sabie nimfa+6
167	Sabie nimfa+7
168	Sabie nimfa+8
169	Sabie nimfa+9
170	Spada+0
171	Spada+1
172	Spada+2
173	Spada+3
174	Spada+4
175	Spada+5
176	Spada+6
177	Spada+7
178	Spada+8
179	Spada+9
180	Sabie otravita+0
181	Sabie otravita+1
182	Sabie otravita+2
183	Sabie otravita+3
184	Sabie otravita+4
185	Sabie otravita+5
186	Sabie otravita+6
187	Sabie otravita+7
188	Sabie otravita+8
189	Sabie otravita+9
190	Sabie leu+0
191	Sabie leu+1
192	Sabie leu+2
193	Sabie leu+3
194	Sabie leu+4
195	Sabie leu+5
196	Sabie leu+6
197	Sabie leu+7
198	Sabie leu+8
199	Sabie leu+9
200	Lama+0
201	Lama+1
202	Lama+2
203	Lama+3
204	Lama+4
205	Lama+5
206	Lama+6
207	Lama+7
208	Lama+8
209	Lama+9
210	Lama Mortala+0
211	Lama Mortala+1
212	Lama Mortala+2
213	Lama Mortala+3
214	Lama Mortala+4
215	Lama Mortala+5
216	Lama Mortala+6
217	Lama Mortala+7
218	Lama Mortala+8
219	Lama Mortala+9
220	Sabie luna+0
221	Sabie luna+1
222	Sabie luna+2
223	Sabie luna+3
224	Sabie luna+4
225	Sabie luna+5
226	Sabie luna+6
227	Sabie luna+7
228	Sabie luna+8
229	Sabie luna+9
230	Sabie cer+0
231	Sabie cer+1
232	Sabie cer+2
233	Sabie cer+3
234	Sabie cer+4
235	Sabie cer+5
236	Sabie cer+6
237	Sabie cer+7
238	Sabie cer+8
239	Sabie cer+9
240	Sabie exorcism+0
241	Sabie exorcism+1
242	Sabie exorcism+2
243	Sabie exorcism+3
244	Sabie exorcism+4
245	Sabie exorcism+5
246	Sabie exorcism+6
247	Sabie exorcism+7
248	Sabie exorcism+8
249	Sabie exorcism+9
250	Lama Demon+0
251	Lama Demon+1
252	Lama Demon+2
253	Lama Demon+3
254	Lama Demon+4
255	Lama Demon+5
256	Lama Demon+6
257	Lama Demon+7
258	Lama Demon+8
259	Lama Demon+9
260	Sabie baron+0
261	Sabie baron+1
262	Sabie baron+2
263	Sabie baron+3
264	Sabie baron+4
265	Sabie baron+5
266	Sabie baron+6
267	Sabie baron+7
268	Sabie baron+8
269	Sabie baron+9
270	Sabie Triton+0
271	Sabie Triton+1
272	Sabie Triton+2
273	Sabie Triton+3
274	Sabie Triton+4
275	Sabie Triton+5
276	Sabie Triton+6
277	Sabie Triton+7
278	Sabie Triton+8
279	Sabie Triton+9
280	Sabie sfanta+0
281	Sabie sfanta+1
282	Sabie sfanta+2
283	Sabie sfanta+3
284	Sabie sfanta+4
285	Sabie sfanta+5
286	Sabie sfanta+6
287	Sabie sfanta+7
288	Sabie sfanta+8
289	Sabie sfanta+9
290	Sabie luna plina+0
291	Sabie luna plina+1
292	Sabie luna plina+2
293	Sabie luna plina+3
294	Sabie luna plina+4
295	Sabie luna plina+5
296	Sabie luna plina+6
297	Sabie luna plina+7
298	Sabie luna plina+8
299	Sabie luna plina+9
300	Lama Zodiac+0
301	Lama Zodiac+1
302	Lama Zodiac+2
303	Lama Zodiac+3
304	Lama Zodiac+4
305	Lama Zodiac+5
306	Lama Zodiac+6
307	Lama Zodiac+7
308	Lama Zodiac+8
309	Lama Zodiac+9
310	Sabie Zodiac+0
311	Sabie Zodiac+1
312	Sabie Zodiac+2
313	Sabie Zodiac+3
314	Sabie Zodiac+4
315	Sabie Zodiac+5
316	Sabie Zodiac+6
317	Sabie Zodiac+7
318	Sabie Zodiac+8
319	Sabie Zodiac+9
320	Sabie Dragon Negru +0
321	Sabie Dragon Negru +1
322	Sabie Dragon Negru +2
323	Sabie Dragon Negru +3
324	Sabie Dragon Negru +4
325	Sabie Dragon Negru +5
326	Sabie Dragon Negru +6
327	Sabie Dragon Negru +7
328	Sabie Dragon Negru +8
329	Sabie Dragon Negru +9
330	Sabie Dragon Negru +10
331	Sabie Dragon Negru +11
332	Sabie Dragon Negru +12
333	Sabie Dragon Negru +13
334	Sabie Dragon Negru +14
335	Sabie Dragon Negru +15
340	Palos Dragon Negru +0
341	Palos Dragon Negru +1
342	Palos Dragon Negru +2
343	Palos Dragon Negru +3
344	Palos Dragon Negru +4
345	Palos Dragon Negru +5
346	Palos Dragon Negru +6
347	Palos Dragon Negru +7
348	Palos Dragon Negru +8
349	Palos Dragon Negru +9
350	Palos Dragon Negru +10
351	Palos Dragon Negru +11
352	Palos Dragon Negru +12
353	Palos Dragon Negru +13
354	Palos Dragon Negru +14
355	Palos Dragon Negru +15
360	Sabie sarpe+0
361	Sabie sarpe+1
362	Sabie sarpe+2
363	Sabie sarpe+3
364	Sabie sarpe+4
365	Sabie sarpe+5
366	Sabie sarpe+6
367	Sabie sarpe+7
368	Sabie sarpe+8
369	Sabie sarpe+9
370	Sabie sarpe+10
371	Sabie sarpe+11
372	Sabie sarpe+12
373	Sabie sarpe+13
374	Sabie sarpe+14
375	Sabie sarpe+15
376	Sabie Serpent (craft)
380	Lama sarpe+0
381	Lama sarpe+1
382	Lama sarpe+2
383	Lama sarpe+3
384	Lama sarpe+4
385	Lama sarpe+5
386	Lama sarpe+6
387	Lama sarpe+7
388	Lama sarpe+8
389	Lama sarpe+9
390	Lama sarpe+10
391	Lama sarpe+11
392	Lama sarpe+12
393	Lama sarpe+13
394	Lama sarpe+14
395	Lama sarpe+15
396	Lama sarpe (craft)
460	Sabie Inscriptionata +0
461	Sabie Inscriptionata +1
462	Sabie Inscriptionata +2
463	Sabie Inscriptionata +3
464	Sabie Inscriptionata +4
465	Sabie Inscriptionata +5
466	Sabie Inscriptionata +6
467	Sabie Inscriptionata +7
468	Sabie Inscriptionata +8
469	Sabie Inscriptionata +9
470	Lama Dinte Dragon +0
471	Lama Dinte Dragon +1
472	Lama Dinte Dragon +2
473	Lama Dinte Dragon +3
474	Lama Dinte Dragon +4
475	Lama Dinte Dragon +5
476	Lama Dinte Dragon +6
477	Lama Dinte Dragon +7
478	Lama Dinte Dragon +8
479	Lama Dinte Dragon +9
500	Sabie din Cianit+0
501	Sabie din Cianit+1
502	Sabie din Cianit+2
503	Sabie din Cianit+3
504	Sabie din Cianit+4
505	Sabie din Cianit+5
506	Sabie din Cianit+6
507	Sabie din Cianit+7
508	Sabie din Cianit+8
509	Sabie din Cianit+9
1000	Pumnal+0
1001	Pumnal+1
1002	Pumnal+2
1003	Pumnal+3
1004	Pumnal+4
1005	Pumnal+5
1006	Pumnal+6
1007	Pumnal+7
1008	Pumnal+8
1009	Pumnal+9
1010	Pumnal cobra+0
1011	Pumnal cobra+1
1012	Pumnal cobra+2
1013	Pumnal cobra+3
1014	Pumnal cobra+4
1015	Pumnal cobra+5
1016	Pumnal cobra+6
1017	Pumnal cobra+7
1018	Pumnal cobra+8
1019	Pumnal cobra+9
1020	Pumnal foarfece+0
1021	Pumnal foarfece+1
1022	Pumnal foarfece+2
1023	Pumnal foarfece+3
1024	Pumnal foarfece+4
1025	Pumnal foarfece+5
1026	Pumnal foarfece+6
1027	Pumnal foarfece+7
1028	Pumnal foarfece+8
1029	Pumnal foarfece+9
1030	Cutit norocos+0
1031	Cutit norocos+1
1032	Cutit norocos+2
1033	Cutit norocos+3
1034	Cutit norocos+4
1035	Cutit norocos+5
1036	Cutit norocos+6
1037	Cutit norocos+7
1038	Cutit norocos+8
1039	Cutit norocos+9
1040	Cutit muscatura pisic.+0
1041	Cutit muscatura pisic.+1
1042	Cutit muscatura pisic.+2
1043	Cutit muscatura pisic.+3
1044	Cutit muscatura pisic.+4
1045	Cutit muscatura pisic.+5
1046	Cutit muscatura pisic.+6
1047	Cutit muscatura pisic.+7
1048	Cutit muscatura pisic.+8
1049	Cutit muscatura pisic.+9
1050	Pumnal Masca de Diavol+0
1051	Pumnal Masca de Diavol+1
1052	Pumnal Masca de Diavol+2
1053	Pumnal Masca de Diavol+3
1054	Pumnal Masca de Diavol+4
1055	Pumnal Masca de Diavol+5
1056	Pumnal Masca de Diavol+6
1057	Pumnal Masca de Diavol+7
1058	Pumnal Masca de Diavol+8
1059	Pumnal Masca de Diavol+9
1060	Pumnal pumn de diavol+0
1061	Pumnal pumn de diavol+1
1062	Pumnal pumn de diavol+2
1063	Pumnal pumn de diavol+3
1064	Pumnal pumn de diavol+4
1065	Pumnal pumn de diavol+5
1066	Pumnal pumn de diavol+6
1067	Pumnal pumn de diavol+7
1068	Pumnal pumn de diavol+8
1069	Pumnal pumn de diavol+9
1070	Pumnal sangeros+0
1071	Pumnal sangeros+1
1072	Pumnal sangeros+2
1073	Pumnal sangeros+3
1074	Pumnal sangeros+4
1075	Pumnal sangeros+5
1076	Pumnal sangeros+6
1077	Pumnal sangeros+7
1078	Pumnal sangeros+8
1079	Pumnal sangeros+9
1080	Cutit de coaste+0
1081	Cutit de coaste+1
1082	Cutit de coaste+2
1083	Cutit de coaste+3
1084	Cutit de coaste+4
1085	Cutit de coaste+5
1086	Cutit de coaste+6
1087	Cutit de coaste+7
1088	Cutit de coaste+8
1089	Cutit de coaste+9
1090	Chakram+0
1091	Chakram+1
1092	Chakram+2
1093	Chakram+3
1094	Chakram+4
1095	Chakram+5
1096	Chakram+6
1097	Chakram+7
1098	Chakram+8
1099	Chakram+9
1100	Cutit Dragon+0
1101	Cutit Dragon+1
1102	Cutit Dragon+2
1103	Cutit Dragon+3
1104	Cutit Dragon+4
1105	Cutit Dragon+5
1106	Cutit Dragon+6
1107	Cutit Dragon+7
1108	Cutit Dragon+8
1109	Cutit Dragon+9
1110	Cutit fulger+0
1111	Cutit fulger+1
1112	Cutit fulger+2
1113	Cutit fulger+3
1114	Cutit fulger+4
1115	Cutit fulger+5
1116	Cutit fulger+6
1117	Cutit fulger+7
1118	Cutit fulger+8
1119	Cutit fulger+9
1120	Cutit siamez+0
1121	Cutit siamez+1
1122	Cutit siamez+2
1123	Cutit siamez+3
1124	Cutit siamez+4
1125	Cutit siamez+5
1126	Cutit siamez+6
1127	Cutit siamez+7
1128	Cutit siamez+8
1129	Cutit siamez+9
1130	Chakram Aripa Diavol+0
1131	Chakram Aripa Diavol+1
1132	Chakram Aripa Diavol+2
1133	Chakram Aripa Diavol+3
1134	Chakram Aripa Diavol+4
1135	Chakram Aripa Diavol+5
1136	Chakram Aripa Diavol+6
1137	Chakram Aripa Diavol+7
1138	Chakram Aripa Diavol+8
1139	Chakram Aripa Diavol+9
1140	Cutit ferastrau+0
1141	Cutit ferastrau+1
1142	Cutit ferastrau+2
1143	Cutit ferastrau+3
1144	Cutit ferastrau+4
1145	Cutit ferastrau+5
1146	Cutit ferastrau+6
1147	Cutit ferastrau+7
1148	Cutit ferastrau+8
1149	Cutit ferastrau+9
1150	Cutit raza de soare+0
1151	Cutit raza de soare+1
1152	Cutit raza de soare+2
1153	Cutit raza de soare+3
1154	Cutit raza de soare+4
1155	Cutit raza de soare+5
1156	Cutit raza de soare+6
1157	Cutit raza de soare+7
1158	Cutit raza de soare+8
1159	Cutit raza de soare+9
1160	Cutit parau+0
1161	Cutit parau+1
1162	Cutit parau+2
1163	Cutit parau+3
1164	Cutit parau+4
1165	Cutit parau+5
1166	Cutit parau+6
1167	Cutit parau+7
1168	Cutit parau+8
1169	Cutit parau+9
1170	Pumnal foaie neagra+0
1171	Pumnal foaie neagra+1
1172	Pumnal foaie neagra+2
1173	Pumnal foaie neagra+3
1174	Pumnal foaie neagra+4
1175	Pumnal foaie neagra+5
1176	Pumnal foaie neagra+6
1177	Pumnal foaie neagra+7
1178	Pumnal foaie neagra+8
1179	Pumnal foaie neagra+9
1180	Pumnal Zodiac+0
1181	Pumnal Zodiac+1
1182	Pumnal Zodiac+2
1183	Pumnal Zodiac+3
1184	Pumnal Zodiac+4
1185	Pumnal Zodiac+5
1186	Pumnal Zodiac+6
1187	Pumnal Zodiac+7
1188	Pumnal Zodiac+8
1189	Pumnal Zodiac+9
1190	Pumnal Dragon Negru +0
1191	Pumnal Dragon Negru +1
1192	Pumnal Dragon Negru +2
1193	Pumnal Dragon Negru +3
1194	Pumnal Dragon Negru +4
1195	Pumnal Dragon Negru +5
1196	Pumnal Dragon Negru +6
1197	Pumnal Dragon Negru +7
1198	Pumnal Dragon Negru +8
1199	Pumnal Dragon Negru +9
1200	Pumnal Dragon Negru +10
1201	Pumnal Dragon Negru +11
1202	Pumnal Dragon Negru +12
1203	Pumnal Dragon Negru +13
1204	Pumnal Dragon Negru +14
1205	Pumnal Dragon Negru +15
1210	Pumnal sarpe+0
1211	Pumnal sarpe+1
1212	Pumnal sarpe+2
1213	Pumnal sarpe+3
1214	Pumnal sarpe+4
1215	Pumnal sarpe+5
1216	Pumnal sarpe+6
1217	Pumnal sarpe+7
1218	Pumnal sarpe+8
1219	Pumnal sarpe+9
1220	Pumnal sarpe+10
1221	Pumnal sarpe+11
1222	Pumnal sarpe+12
1223	Pumnal sarpe+13
1224	Pumnal sarpe+14
1225	Pumnal sarpe+15
1226	Pumnal sarpe (craft)
1340	Lama 5 Elemente +0
1341	Lama 5 Elemente +1
1342	Lama 5 Elemente +2
1343	Lama 5 Elemente +3
1344	Lama 5 Elemente +4
1345	Lama 5 Elemente +5
1346	Lama 5 Elemente +6
1347	Lama 5 Elemente +7
1348	Lama 5 Elemente +8
1349	Lama 5 Elemente +9
1500	Pumnal din Cianit+0
1501	Pumnal din Cianit+1
1502	Pumnal din Cianit+2
1503	Pumnal din Cianit+3
1504	Pumnal din Cianit+4
1505	Pumnal din Cianit+5
1506	Pumnal din Cianit+6
1507	Pumnal din Cianit+7
1508	Pumnal din Cianit+8
1509	Pumnal din Cianit+9
2000	Arc+0
2001	Arc+1
2002	Arc+2
2003	Arc+3
2004	Arc+4
2005	Arc+5
2006	Arc+6
2007	Arc+7
2008	Arc+8
2009	Arc+9
2010	Arc lung+0
2011	Arc lung+1
2012	Arc lung+2
2013	Arc lung+3
2014	Arc lung+4
2015	Arc lung+5
2016	Arc lung+6
2017	Arc lung+7
2018	Arc lung+8
2019	Arc lung+9
2020	Arc compozit+0
2021	Arc compozit+1
2022	Arc compozit+2
2023	Arc compozit+3
2024	Arc compozit+4
2025	Arc compozit+5
2026	Arc compozit+6
2027	Arc compozit+7
2028	Arc compozit+8
2029	Arc compozit+9
2030	Arc de razboi+0
2031	Arc de razboi+1
2032	Arc de razboi+2
2033	Arc de razboi+3
2034	Arc de razboi+4
2035	Arc de razboi+5
2036	Arc de razboi+6
2037	Arc de razboi+7
2038	Arc de razboi+8
2039	Arc de razboi+9
2040	Arc lung de calaret+0
2041	Arc lung de calaret+1
2042	Arc lung de calaret+2
2043	Arc lung de calaret+3
2044	Arc lung de calaret+4
2045	Arc lung de calaret+5
2046	Arc lung de calaret+6
2047	Arc lung de calaret+7
2048	Arc lung de calaret+8
2049	Arc lung de calaret+9
2050	Arc calaret de razboi+0
2051	Arc calaret de razboi+1
2052	Arc calaret de razboi+2
2053	Arc calaret de razboi+3
2054	Arc calaret de razboi+4
2055	Arc calaret de razboi+5
2056	Arc calaret de razboi+6
2057	Arc calaret de razboi+7
2058	Arc calaret de razboi+8
2059	Arc calaret de razboi+9
2060	Arc ornament cupru+0
2061	Arc ornament cupru+1
2062	Arc ornament cupru+2
2063	Arc ornament cupru+3
2064	Arc ornament cupru+4
2065	Arc ornament cupru+5
2066	Arc ornament cupru+6
2067	Arc ornament cupru+7
2068	Arc ornament cupru+8
2069	Arc ornament cupru+9
2070	Arc distrugere+0
2071	Arc distrugere+1
2072	Arc distrugere+2
2073	Arc distrugere+3
2074	Arc distrugere+4
2075	Arc distrugere+5
2076	Arc distrugere+6
2077	Arc distrugere+7
2078	Arc distrugere+8
2079	Arc distrugere+9
2080	Arc ochi rosu+0
2081	Arc ochi rosu+1
2082	Arc ochi rosu+2
2083	Arc ochi rosu+3
2084	Arc ochi rosu+4
2085	Arc ochi rosu+5
2086	Arc ochi rosu+6
2087	Arc ochi rosu+7
2088	Arc ochi rosu+8
2089	Arc ochi rosu+9
2090	Arc Spin+0
2091	Arc Spin+1
2092	Arc Spin+2
2093	Arc Spin+3
2094	Arc Spin+4
2095	Arc Spin+5
2096	Arc Spin+6
2097	Arc Spin+7
2098	Arc Spin+8
2099	Arc Spin+9
2100	Arc corn de taur+0
2101	Arc corn de taur+1
2102	Arc corn de taur+2
2103	Arc corn de taur+3
2104	Arc corn de taur+4
2105	Arc corn de taur+5
2106	Arc corn de taur+6
2107	Arc corn de taur+7
2108	Arc corn de taur+8
2109	Arc corn de taur+9
2110	Arc unicorn+0
2111	Arc unicorn+1
2112	Arc unicorn+2
2113	Arc unicorn+3
2114	Arc unicorn+4
2115	Arc unicorn+5
2116	Arc unicorn+6
2117	Arc unicorn+7
2118	Arc unicorn+8
2119	Arc unicorn+9
2120	Arc aripa uriasa+0
2121	Arc aripa uriasa+1
2122	Arc aripa uriasa+2
2123	Arc aripa uriasa+3
2124	Arc aripa uriasa+4
2125	Arc aripa uriasa+5
2126	Arc aripa uriasa+6
2127	Arc aripa uriasa+7
2128	Arc aripa uriasa+8
2129	Arc aripa uriasa+9
2130	Arc caisa+0
2131	Arc caisa+1
2132	Arc caisa+2
2133	Arc caisa+3
2134	Arc caisa+4
2135	Arc caisa+5
2136	Arc caisa+6
2137	Arc caisa+7
2138	Arc caisa+8
2139	Arc caisa+9
2140	Arc Dragon-galben+0
2141	Arc Dragon-galben+1
2142	Arc Dragon-galben+2
2143	Arc Dragon-galben+3
2144	Arc Dragon-galben+4
2145	Arc Dragon-galben+5
2146	Arc Dragon-galben+6
2147	Arc Dragon-galben+7
2148	Arc Dragon-galben+8
2149	Arc Dragon-galben+9
2150	Arc corn+0
2151	Arc corn+1
2152	Arc corn+2
2153	Arc corn+3
2154	Arc corn+4
2155	Arc corn+5
2156	Arc corn+6
2157	Arc corn+7
2158	Arc corn+8
2159	Arc corn+9
2160	Arcul marelui diavol+0
2161	Arcul marelui diavol+1
2162	Arcul marelui diavol+2
2163	Arcul marelui diavol+3
2164	Arcul marelui diavol+4
2165	Arcul marelui diavol+5
2166	Arcul marelui diavol+6
2167	Arcul marelui diavol+7
2168	Arcul marelui diavol+8
2169	Arcul marelui diavol+9
2170	Arcul otelit al ciorii+0
2171	Arcul otelit al ciorii+1
2172	Arcul otelit al ciorii+2
2173	Arcul otelit al ciorii+3
2174	Arcul otelit al ciorii+4
2175	Arcul otelit al ciorii+5
2176	Arcul otelit al ciorii+6
2177	Arcul otelit al ciorii+7
2178	Arcul otelit al ciorii+8
2179	Arcul otelit al ciorii+9
2180	Arc Dragon-albastru+0
2181	Arc Dragon-albastru+1
2182	Arc Dragon-albastru+2
2183	Arc Dragon-albastru+3
2184	Arc Dragon-albastru+4
2185	Arc Dragon-albastru+5
2186	Arc Dragon-albastru+6
2187	Arc Dragon-albastru+7
2188	Arc Dragon-albastru+8
2189	Arc Dragon-albastru+9
2190	Arc stafie+0
2191	Arc stafie+1
2192	Arc stafie+2
2193	Arc stafie+3
2194	Arc stafie+4
2195	Arc stafie+5
2196	Arc stafie+6
2197	Arc stafie+7
2198	Arc stafie+8
2199	Arc stafie+9
2200	Arc Zodiac+0
2201	Arc Zodiac+1
2202	Arc Zodiac+2
2203	Arc Zodiac+3
2204	Arc Zodiac+4
2205	Arc Zodiac+5
2206	Arc Zodiac+6
2207	Arc Zodiac+7
2208	Arc Zodiac+8
2209	Arc Zodiac+9
2210	Arc Dragon Negru +0
2211	Arc Dragon Negru +1
2212	Arc Dragon Negru +2
2213	Arc Dragon Negru +3
2214	Arc Dragon Negru +4
2215	Arc Dragon Negru +5
2216	Arc Dragon Negru +6
2217	Arc Dragon Negru +7
2218	Arc Dragon Negru +8
2219	Arc Dragon Negru +9
2220	Arc Dragon Negru +10
2221	Arc Dragon Negru +11
2222	Arc Dragon Negru +12
2223	Arc Dragon Negru +13
2224	Arc Dragon Negru +14
2225	Arc Dragon Negru +15
2230	Arc sarpe+0
2231	Arc sarpe+1
2232	Arc sarpe+2
2233	Arc sarpe+3
2234	Arc sarpe+4
2235	Arc sarpe+5
2236	Arc sarpe+6
2237	Arc sarpe+7
2238	Arc sarpe+8
2239	Arc sarpe+9
2240	Arc sarpe+10
2241	Arc sarpe+11
2242	Arc sarpe+12
2243	Arc sarpe+13
2244	Arc sarpe+14
2245	Arc sarpe+15
2246	Arc sarpe (craft)
2370	Arc Phoenix +0
2371	Arc Phoenix +1
2372	Arc Phoenix +2
2373	Arc Phoenix +3
2374	Arc Phoenix +4
2375	Arc Phoenix +5
2376	Arc Phoenix +6
2377	Arc Phoenix +7
2378	Arc Phoenix +8
2379	Arc Phoenix +9
2500	Arc din Cianit+0
2501	Arc din Cianit+1
2502	Arc din Cianit+2
2503	Arc din Cianit+3
2504	Arc din Cianit+4
2505	Arc din Cianit+5
2506	Arc din Cianit+6
2507	Arc din Cianit+7
2508	Arc din Cianit+8
2509	Arc din Cianit+9
3000	Glaive+0
3001	Glaive+1
3002	Glaive+2
3003	Glaive+3
3004	Glaive+4
3005	Glaive+5
3006	Glaive+6
3007	Glaive+7
3008	Glaive+8
3009	Glaive+9
3010	Sulita+0
3011	Sulita+1
3012	Sulita+2
3013	Sulita+3
3014	Sulita+4
3015	Sulita+5
3016	Sulita+6
3017	Sulita+7
3018	Sulita+8
3019	Sulita+9
3020	Lama Ghilotina+0
3021	Lama Ghilotina+1
3022	Lama Ghilotina+2
3023	Lama Ghilotina+3
3024	Lama Ghilotina+4
3025	Lama Ghilotina+5
3026	Lama Ghilotina+6
3027	Lama Ghilotina+7
3028	Lama Ghilotina+8
3029	Lama Ghilotina+9
3030	Sulita paianjen+0
3031	Sulita paianjen+1
3032	Sulita paianjen+2
3033	Sulita paianjen+3
3034	Sulita paianjen+4
3035	Sulita paianjen+5
3036	Sulita paianjen+6
3037	Sulita paianjen+7
3038	Sulita paianjen+8
3039	Sulita paianjen+9
3040	Guisarme+0
3041	Guisarme+1
3042	Guisarme+2
3043	Guisarme+3
3044	Guisarme+4
3045	Guisarme+5
3046	Guisarme+6
3047	Guisarme+7
3048	Guisarme+8
3049	Guisarme+9
3050	Coasa de razboi+0
3051	Coasa de razboi+1
3052	Coasa de razboi+2
3053	Coasa de razboi+3
3054	Coasa de razboi+4
3055	Coasa de razboi+5
3056	Coasa de razboi+6
3057	Coasa de razboi+7
3058	Coasa de razboi+8
3059	Coasa de razboi+9
3060	Furca de lupta+0
3061	Furca de lupta+1
3062	Furca de lupta+2
3063	Furca de lupta+3
3064	Furca de lupta+4
3065	Furca de lupta+5
3066	Furca de lupta+6
3067	Furca de lupta+7
3068	Furca de lupta+8
3069	Furca de lupta+9
3070	Halebarda+0
3071	Halebarda+1
3072	Halebarda+2
3073	Halebarda+3
3074	Halebarda+4
3075	Halebarda+5
3076	Halebarda+6
3077	Halebarda+7
3078	Halebarda+8
3079	Halebarda+9
3080	Secure uriasa+0
3081	Secure uriasa+1
3082	Secure uriasa+2
3083	Secure uriasa+3
3084	Secure uriasa+4
3085	Secure uriasa+5
3086	Secure uriasa+6
3087	Secure uriasa+7
3088	Secure uriasa+8
3089	Secure uriasa+9
3090	Sulita ghetar+0
3091	Sulita ghetar+1
3092	Sulita ghetar+2
3093	Sulita ghetar+3
3094	Sulita ghetar+4
3095	Sulita ghetar+5
3096	Sulita ghetar+6
3097	Sulita ghetar+7
3098	Sulita ghetar+8
3099	Sulita ghetar+9
3100	Sabie 12 stafii+0
3101	Sabie 12 stafii+1
3102	Sabie 12 stafii+2
3103	Sabie 12 stafii+3
3104	Sabie 12 stafii+4
3105	Sabie 12 stafii+5
3106	Sabie 12 stafii+6
3107	Sabie 12 stafii+7
3108	Sabie 12 stafii+8
3109	Sabie 12 stafii+9
3110	Lama Eliberare+0
3111	Lama Eliberare+1
3112	Lama Eliberare+2
3113	Lama Eliberare+3
3114	Lama Eliberare+4
3115	Lama Eliberare+5
3116	Lama Eliberare+6
3117	Lama Eliberare+7
